epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3769.43,0.90308,0.38682,0.80852,0.97817,0.95623,0.97879,0.65002,1.18783,0.48242,0.83319,0.0015941,0.0015941,0.0015941
43,3858.72,0.89461,0.38689,0.80483,0.95364,0.94501,0.97294,0.57585,1.44682,0.57393,0.85137,0.0015842,0.0015842,0.0015842
44,3947.68,0.90676,0.39008,0.80643,0.98183,0.96409,0.98396,0.66355,1.16773,0.46706,0.83072,0.0015743,0.0015743,0.0015743
45,4037.12,0.90276,0.38753,0.80504,0.96347,0.95174,0.97692,0.61813,1.3202,0.53398,0.84129,0.0015644,0.0015644,0.0015644
46,4127.62,0.89433,0.38185,0.80689,0.97892,0.95511,0.97809,0.64998,1.18889,0.48855,0.83447,0.0015545,0.0015545,0.0015545
47,4217.4,0.90398,0.38789,0.80479,0.98117,0.94725,0.98009,0.62527,1.30151,0.52281,0.84321,0.0015446,0.0015446,0.0015446
48,4306.61,0.90024,0.38478,0.80403,0.9784,0.96611,0.9835,0.65992,1.16135,0.47167,0.8296,0.0015347,0.0015347,0.0015347
49,4395.78,0.88933,0.38269,0.80492,0.97115,0.94448,0.97717,0.60498,1.36916,0.54474,0.84546,0.0015248,0.0015248,0.0015248
50,4486.24,0.89541,0.3864,0.80334,0.97126,0.94613,0.97965,0.61215,1.35037,0.52753,0.84499,0.0015149,0.0015149,0.0015149
51,4575.96,0.90131,0.38689,0.80554,0.97428,0.94949,0.97833,0.65705,1.17607,0.49243,0.83299,0.001505,0.001505,0.001505
52,4665.13,0.89087,0.3877,0.80504,0.95161,0.94052,0.97285,0.58294,1.40952,0.57907,0.84652,0.0014951,0.0014951,0.0014951
53,4754.52,0.89135,0.38503,0.80537,0.95272,0.95735,0.97955,0.60062,1.39128,0.55764,0.84674,0.0014852,0.0014852,0.0014852
54,4845,0.89046,0.38447,0.80338,0.97989,0.94613,0.9779,0.64983,1.21905,0.49479,0.83667,0.0014753,0.0014753,0.0014753
55,4934.84,0.89578,0.38359,0.80373,0.94167,0.96033,0.97484,0.58617,1.45903,0.56477,0.85531,0.0014654,0.0014654,0.0014654
56,5024.15,0.88803,0.38102,0.80478,0.97032,0.95388,0.97729,0.57485,1.51021,0.57052,0.85807,0.0014555,0.0014555,0.0014555
57,5113.22,0.88226,0.38049,0.80412,0.96829,0.94837,0.97361,0.63532,1.25874,0.5108,0.83822,0.0014456,0.0014456,0.0014456
58,5203.96,0.88993,0.38303,0.80389,0.96892,0.94468,0.97757,0.60054,1.37899,0.54778,0.8461,0.0014357,0.0014357,0.0014357
59,5293.84,0.88919,0.383,0.80296,0.98032,0.95286,0.97845,0.6535,1.16493,0.48354,0.83061,0.0014258,0.0014258,0.0014258
60,5382.69,0.89574,0.38357,0.8053,0.96489,0.95625,0.97715,0.64983,1.1881,0.49868,0.83119,0.0014159,0.0014159,0.0014159
61,5471.91,0.8838,0.379,0.80461,0.95705,0.95511,0.97602,0.56904,1.47067,0.57193,0.85449,0.001406,0.001406,0.001406
62,5561.05,0.88085,0.38019,0.80427,0.96499,0.95174,0.97996,0.6027,1.37673,0.55304,0.84684,0.0013961,0.0013961,0.0013961
63,5650.03,0.88241,0.38227,0.80511,0.97505,0.96496,0.97776,0.65094,1.18907,0.47926,0.83405,0.0013862,0.0013862,0.0013862
64,5739.21,0.88755,0.37961,0.80475,0.95983,0.94949,0.97801,0.58348,1.42494,0.56525,0.8502,0.0013763,0.0013763,0.0013763
65,5828.47,0.89802,0.38437,0.80556,0.97227,0.93827,0.97236,0.62116,1.30882,0.52475,0.84194,0.0013664,0.0013664,0.0013664
66,5917.38,0.88691,0.38225,0.80454,0.97378,0.95859,0.97717,0.63662,1.24777,0.4975,0.83996,0.0013565,0.0013565,0.0013565
67,6007.01,0.88002,0.37649,0.80249,0.97334,0.94235,0.9782,0.5991,1.406,0.55024,0.85057,0.0013466,0.0013466,0.0013466
68,6095.81,0.87699,0.37824,0.80497,0.96679,0.95286,0.9812,0.57819,1.49473,0.56418,0.85612,0.0013367,0.0013367,0.0013367
69,6184.62,0.87566,0.37817,0.80336,0.96599,0.94388,0.97818,0.59002,1.43491,0.55966,0.85127,0.0013268,0.0013268,0.0013268
70,6274.51,0.88545,0.3805,0.80379,0.97489,0.95876,0.97855,0.65566,1.17314,0.47067,0.83331,0.0013169,0.0013169,0.0013169
71,6365.64,0.88646,0.38032,0.80408,0.97505,0.94501,0.98089,0.61275,1.36056,0.52753,0.84727,0.001307,0.001307,0.001307
72,6454.7,0.87995,0.38023,0.80112,0.97125,0.94775,0.97826,0.59225,1.40418,0.54512,0.84967,0.0012971,0.0012971,0.0012971
73,6544.22,0.87923,0.37968,0.805,0.96173,0.95893,0.97753,0.62138,1.3269,0.52437,0.84511,0.0012872,0.0012872,0.0012872
74,6633.14,0.88048,0.37641,0.80523,0.97598,0.95778,0.97671,0.64384,1.21267,0.48682,0.83516,0.0012773,0.0012773,0.0012773
75,6722.72,0.88738,0.37727,0.80481,0.96798,0.94613,0.97789,0.61655,1.34147,0.53506,0.84445,0.0012674,0.0012674,0.0012674
76,6811.67,0.88558,0.37855,0.80479,0.96597,0.95587,0.97533,0.64579,1.19177,0.4916,0.83247,0.0012575,0.0012575,0.0012575
77,6901.42,0.86925,0.37564,0.80174,0.96679,0.95286,0.97894,0.64721,1.22566,0.49391,0.8361,0.0012476,0.0012476,0.0012476
78,6990.75,0.87847,0.37705,0.80311,0.97087,0.94613,0.97817,0.59843,1.39432,0.54259,0.84852,0.0012377,0.0012377,0.0012377
79,7080.23,0.89535,0.37749,0.8049,0.97499,0.96246,0.97825,0.64445,1.18772,0.482,0.83279,0.0012278,0.0012278,0.0012278
80,7169.02,0.87528,0.37443,0.80434,0.96054,0.95631,0.97524,0.5802,1.45387,0.55934,0.85351,0.0012179,0.0012179,0.0012179
81,7258.41,0.87529,0.37629,0.80463,0.97623,0.96745,0.97898,0.65525,1.17357,0.4716,0.82984,0.001208,0.001208,0.001208
82,7347.68,0.86884,0.37464,0.80475,0.97621,0.95174,0.97643,0.6602,1.18445,0.47131,0.83217,0.0011981,0.0011981,0.0011981
83,7437.14,0.86551,0.37288,0.80156,0.96737,0.95511,0.97767,0.58761,1.43588,0.5533,0.8524,0.0011882,0.0011882,0.0011882
84,7526.04,0.87574,0.3759,0.803,0.98277,0.95999,0.98009,0.65414,1.19072,0.46949,0.83284,0.0011783,0.0011783,0.0011783
